"id","name","position","team","consensusStandard","consensusHalfPpr","consensusPpr"
"consensus-juwan-johnson-te-no-3","Juwan Johnson","TE","NO","","","114"
"consensus-jadarian-price-rb-fa-2","Jadarian Price","RB","FA","","115",""
"consensus-kenneth-gainwell-rb-tb-3","Kenneth Gainwell","RB","TB","","","115"
"woody-marks","Woody Marks","RB","HOU","112","116","123"
"consensus-emmett-johnson-rb-fa","Emmett Johnson","RB","FA","116","",""
"consensus-juwan-johnson-te-no-2","Juwan Johnson","TE","NO","","117",""
"consensus-kenneth-gainwell-rb-tb-2","Kenneth Gainwell","RB","TB","","118",""
"jauan-jennings","Jauan Jennings","WR","SF","120","119","113"
"brenton-strange","Brenton Strange","TE","JAX","121","120","116"
"consensus-tyler-shough-qb-no-3","Tyler Shough","QB","NO","","","120"
"khalil-shakir","Khalil Shakir","WR","BUF","135","121","98"
"george-kittle","George Kittle","TE","SF","132","122","138"
"consensus-malik-willis-qb-mia-3","Malik Willis","QB","MIA","","","122"
"jayden-higgins","Jayden Higgins","WR","HOU","127","123","121"
"baker-mayfield","Baker Mayfield","QB","TB","124","124","117"
"consensus-juwan-johnson-te-no","Juwan Johnson","TE","NO","125","",""
"alvin-kamara","Alvin Kamara","RB","NO","130","125","109"
"consensus-tyler-shough-qb-no","Tyler Shough","QB","NO","126","",""
"consensus-tyler-shough-qb-no-2","Tyler Shough","QB","NO","","126",""
"consensus-emmett-johnson-rb-fa-2","Emmett Johnson","RB","FA","","127",""
"consensus-malik-willis-qb-mia","Malik Willis","QB","MIA","128","",""
"josh-downs","Josh Downs","WR","IND","144","128","118"
"jordan-mason","Jordan Mason","RB","MIN","123","129","145"
"jayden-reed","Jayden Reed","WR","GB","141","130","126"
"consensus-denzel-boston-wr-fa-2","Denzel Boston","WR","FA","","131",""
"rachaad-white","Rachaad White","RB","WAS","142","132","134"
"kyler-murray","Kyler Murray","QB","MIN","129","133","130"
"consensus-kenneth-gainwell-rb-tb","Kenneth Gainwell","RB","TB","134","",""
"xavier-worthy","Xavier Worthy","WR","KC","137","134","124"
"tyrone-tracy-jr","Tyrone Tracy Jr.","RB","NYG","133","135","144"
"romeo-doubs","Romeo Doubs","WR","NE","148","136","141"
"hunter-henry","Hunter Henry","TE","NE","138","137","152"
"travis-kelce","Travis Kelce","TE","KC","149","138","142"
"dylan-sampson","Dylan Sampson","RB","CLE","150","139","132"
"braelon-allen","Braelon Allen","RB","NYJ","131","140","156"
"consensus-jadarian-price-rb-fa-3","Jadarian Price","RB","FA","","","140"
"tyjae-spears","Tyjae Spears","RB","TEN","165","141","139"
"tyreek-hill","Tyreek Hill","WR","MIA","143","142","131"
"deebo-samuel","Deebo Samuel","WR","WAS","147","143","135"
"trey-benson","Trey Benson","RB","ARI","155","144","128"
"consensus-malik-willis-qb-mia-2","Malik Willis","QB","MIA","","145",""
"consensus-jonah-coleman-rb-fa","Jonah Coleman","RB","FA","146","",""
"isiah-pacheco","Isiah Pacheco","RB","DET","152","146","154"
"consensus-emmett-johnson-rb-fa-3","Emmett Johnson","RB","FA","","","146"
"dallas-goedert","Dallas Goedert","TE","PHI","139","147","158"
"travis-hunter","Travis Hunter","WR","JAX","183","148","155"
"jalen-coker","Jalen Coker","WR","CAR","153","149","143"
"isaiah-likely","Isaiah Likely","TE","NYG","169","150","148"
"c-j-stroud","C.J. Stroud","QB","HOU","136","151","133"
"consensus-houston-texans-dst-hou","Houston Texans","DST","HOU","151","",""
"consensus-jonah-coleman-rb-fa-2","Jonah Coleman","RB","FA","","152",""
"dalton-schultz","Dalton Schultz","TE","HOU","171","153","137"
"consensus-houston-texans-dst-hou-3","Houston Texans","DST","HOU","","","153"
"consensus-omar-cooper-wr-fa","Omar Cooper Jr.","WR","FA","154","",""
"consensus-houston-texans-dst-hou-2","Houston Texans","DST","HOU","","154",""
"sam-darnold","Sam Darnold","QB","SEA","140","155","136"
"tank-bigsby","Tank Bigsby","RB","PHI","145","156","176"
"troy-franklin","Troy Franklin","WR","DEN","158","157","149"
"brandon-aiyuk","Brandon Aiyuk","WR","SF","111","158","182"
"mark-andrews","Mark Andrews","TE","BAL","156","159","162"
"consensus-kayshon-boutte-wr-ne","Kayshon Boutte","WR","NE","159","",""
"consensus-denver-broncos-dst-den","Denver Broncos","DST","DEN","160","",""
"jerry-jeudy","Jerry Jeudy","WR","CLE","174","160","147"
"consensus-denver-broncos-dst-den-3","Denver Broncos","DST","DEN","","","160"
"consensus-mike-washington-rb-fa","Mike Washington Jr.","RB","FA","161","",""
"adonai-mitchell","Adonai Mitchell","WR","NYJ","164","161","150"
"consensus-chimere-dike-wr-ten-3","Chimere Dike","WR","TEN","","","161"
"consensus-mike-washington-rb-fa-2","Mike Washington Jr.","RB","FA","","162",""
"consensus-jonathon-brooks-rb-car","Jonathon Brooks","RB","CAR","163","",""
"consensus-denver-broncos-dst-den-2","Denver Broncos","DST","DEN","","163",""
"consensus-seattle-seahawks-dst-sea-3","Seattle Seahawks","DST","SEA","","","163"
"consensus-kayshon-boutte-wr-ne-2","Kayshon Boutte","WR","NE","","164",""
"rashid-shaheed","Rashid Shaheed","WR","SEA","177","165","159"
"consensus-denzel-boston-wr-fa-3","Denzel Boston","WR","FA","","","165"
"consensus-seattle-seahawks-dst-sea","Seattle Seahawks","DST","SEA","166","",""
"consensus-seattle-seahawks-dst-sea-2","Seattle Seahawks","DST","SEA","","166",""
"consensus-kayshon-boutte-wr-ne-3","Kayshon Boutte","WR","NE","","","166"
"chris-rodriguez-jr","Chris Rodriguez Jr.","RB","JAX","162","167","203"
"consensus-philadelphia-eagles-dst-phi-3","Philadelphia Eagles","DST","PHI","","","167"
"keaton-mitchell","Keaton Mitchell","RB","LAC","167","168","173"
"consensus-kenyon-sadiq-te-fa","Kenyon Sadiq","TE","FA","168","",""
"consensus-los-angeles-rams-dst-lar-3","Los Angeles Rams","DST","LAR","","","168"
"cam-ward","Cam Ward","QB","TEN","157","169","151"
"consensus-philadelphia-eagles-dst-phi-2","Philadelphia Eagles","DST","PHI","","170",""
"matthew-golden","Matthew Golden","WR","GB","201","171","164"
"brian-robinson-jr","Brian Robinson Jr.","RB","SF","170","172","186"
"consensus-kimani-vidal-rb-lac","Kimani Vidal","RB","LAC","172","",""
"consensus-jonah-coleman-rb-fa-3","Jonah Coleman","RB","FA","","","172"
"bryce-young","Bryce Young","QB","CAR","173","173","157"
"consensus-chimere-dike-wr-ten-2","Chimere Dike","WR","TEN","","174",""
"consensus-philadelphia-eagles-dst-phi","Philadelphia Eagles","DST","PHI","175","",""
"consensus-los-angeles-rams-dst-lar-2","Los Angeles Rams","DST","LAR","","175",""
"consensus-los-angeles-rams-dst-lar","Los Angeles Rams","DST","LAR","176","",""
"consensus-jonathon-brooks-rb-car-2","Jonathon Brooks","RB","CAR","","176",""
"consensus-omar-cooper-wr-fa-2","Omar Cooper Jr.","WR","FA","","177",""
"consensus-devin-neal-rb-no-3","Devin Neal","RB","NO","","","177"
"consensus-minnesota-vikings-dst-min","Minnesota Vikings","DST","MIN","178","",""
"consensus-minnesota-vikings-dst-min-2","Minnesota Vikings","DST","MIN","","178",""
"consensus-kenyon-sadiq-te-fa-2","Kenyon Sadiq","TE","FA","","179",""
"consensus-minnesota-vikings-dst-min-3","Minnesota Vikings","DST","MIN","","","179"
"consensus-new-england-patriots-dst-ne","New England Patriots","DST","NE","180","",""
"elic-ayomanor","Elic Ayomanor","WR","TEN","189","180","174"
"consensus-kimani-vidal-rb-lac-3","Kimani Vidal","RB","LAC","","","180"
"consensus-jacksonville-jaguars-dst-jac","Jacksonville Jaguars","DST","JAC","181","",""
"brandon-aubrey-k-dal","Brandon Aubrey","K","DAL","184","181","184"
"consensus-new-england-patriots-dst-ne-3","New England Patriots","DST","NE","","","181"
"consensus-chimere-dike-wr-ten","Chimere Dike","WR","TEN","182","",""
"consensus-kimani-vidal-rb-lac-2","Kimani Vidal","RB","LAC","","182",""
"consensus-los-angeles-chargers-dst-lac-2","Los Angeles Chargers","DST","LAC","","183",""
"consensus-jacksonville-jaguars-dst-jac-3","Jacksonville Jaguars","DST","JAC","","","183"
"consensus-green-bay-packers-dst-gb-2","Green Bay Packers","DST","GB","","184",""
"consensus-tank-dell-wr-hou","Tank Dell","WR","HOU","185","",""
"jaylin-noel","Jaylin Noel","WR","HOU","200","185","170"
"consensus-los-angeles-chargers-dst-lac-3","Los Angeles Chargers","DST","LAC","","","185"
"consensus-los-angeles-chargers-dst-lac","Los Angeles Chargers","DST","LAC","186","",""
"consensus-new-england-patriots-dst-ne-2","New England Patriots","DST","NE","","186",""
"consensus-aj-barner-te-sea","AJ Barner","TE","SEA","187","",""
"consensus-pittsburgh-steelers-dst-pit-2","Pittsburgh Steelers","DST","PIT","","187",""
"consensus-mike-washington-rb-fa-3","Mike Washington Jr.","RB","FA","","","187"
"consensus-green-bay-packers-dst-gb","Green Bay Packers","DST","GB","188","",""
"sean-tucker","Sean Tucker","RB","TB","197","188","231"
"consensus-green-bay-packers-dst-gb-3","Green Bay Packers","DST","GB","","","188"
"kaimi-fairbairn-k-hou","Ka'imi Fairbairn","K","HOU","192","189","190"
"consensus-pittsburgh-steelers-dst-pit-3","Pittsburgh Steelers","DST","PIT","","","189"
"pat-bryant","Pat Bryant","WR","DEN","216","190","175"
"consensus-pittsburgh-steelers-dst-pit","Pittsburgh Steelers","DST","PIT","191","",""
"cam-little-k-jax","Cam Little","K","JAX","193","191","191"
"consensus-devin-neal-rb-no-2","Devin Neal","RB","NO","","192",""
"consensus-aj-barner-te-sea-3","AJ Barner","TE","SEA","","","192"
"consensus-jacksonville-jaguars-dst-jac-2","Jacksonville Jaguars","DST","JAC","","193",""
"consensus-cleveland-browns-dst-cle-3","Cleveland Browns","DST","CLE","","","193"
"consensus-k-c-concepcion-wr-fa-2","K.C. Concepcion","WR","FA","","194",""
"consensus-tre-tucker-wr-lv-3","Tre Tucker","WR","LV","","","194"
"cameron-dicker-k-lac","Cameron Dicker","K","LAC","199","195","195"
"consensus-terrance-ferguson-te-lar","Terrance Ferguson","TE","LAR","196","",""
"consensus-aj-barner-te-sea-2","AJ Barner","TE","SEA","","196",""
"consensus-tre-tucker-wr-lv-2","Tre Tucker","WR","LV","","197",""
"consensus-cleveland-browns-dst-cle","Cleveland Browns","DST","CLE","198","",""
"jalen-mcmillan","Jalen McMillan","WR","TB","214","198","178"
"isaac-teslaa","Isaac TeSlaa","WR","DET","179","199","215"
"jason-myers","Jason Myers","K","SEA","204","200","199"
"consensus-fernando-mendoza-qb-fa-3","Fernando Mendoza","QB","FA","","","200"
"consensus-fernando-mendoza-qb-fa-2","Fernando Mendoza","QB","FA","","201",""
"tre-harris","Tre' Harris","WR","LAC","221","202","169"
"consensus-ryan-flournoy-wr-dal-3","Ryan Flournoy","WR","DAL","","","202"
"daniel-jones","Daniel Jones","QB","IND","190","203","171"
"evan-mcpherson-k-cin","Evan McPherson","K","CIN","203","204","198"
"consensus-chris-brazzell-wr-fa","Chris Brazzell II","WR","FA","205","",""
"consensus-emanuel-wilson-rb-sea-2","Emanuel Wilson","RB","SEA","","205",""
"consensus-cleveland-browns-dst-cle-2","Cleveland Browns","DST","CLE","","206",""
"consensus-andy-borregales-k-ne-3","Andy Borregales","K","NE","","","206"
"consensus-kansas-city-chiefs-dst-kc-2","Kansas City Chiefs","DST","KC","","207",""
"consensus-devin-neal-rb-no","Devin Neal","RB","NO","208","",""
"tyler-loop-k-bal","Tyler Loop","K","BAL","212","208","205"
"consensus-kansas-city-chiefs-dst-kc-3","Kansas City Chiefs","DST","KC","","","208"
"consensus-andy-borregales-k-ne-2","Andy Borregales","K","NE","","209",""
"consensus-jonathon-brooks-rb-car-3","Jonathon Brooks","RB","CAR","","","209"
"jaylen-wright","Jaylen Wright","RB","MIA","194","210","221"
"consensus-emanuel-wilson-rb-sea","Emanuel Wilson","RB","SEA","210","",""
"consensus-kansas-city-chiefs-dst-kc","Kansas City Chiefs","DST","KC","211","",""
"consensus-detroit-lions-dst-det-2","Detroit Lions","DST","DET","","211",""
"consensus-eddy-pineiro-k-sf-3","Eddy Pineiro","K","SF","","","211"
"consensus-eddy-pineiro-k-sf-2","Eddy Pineiro","K","SF","","212",""
"consensus-andy-borregales-k-ne","Andy Borregales","K","NE","213","",""
"marvin-mims-jr","Marvin Mims Jr.","WR","DEN","228","213","196"
"consensus-omar-cooper-wr-fa-3","Omar Cooper Jr.","WR","FA","","","213"
"chase-mclaughlin-k-tb","Chase McLaughlin","K","TB","222","214","216"
"consensus-detroit-lions-dst-det-3","Detroit Lions","DST","DET","","","214"
"consensus-tre-tucker-wr-lv","Tre Tucker","WR","LV","215","",""
"t-j-hockenson","T.J. Hockenson","TE","MIN","226","215","197"
"consensus-terrance-ferguson-te-lar-2","Terrance Ferguson","TE","LAR","","216",""
"consensus-detroit-lions-dst-det","Detroit Lions","DST","DET","217","",""
"mason-taylor","Mason Taylor","TE","NYJ","238","217","201"
"consensus-cairo-santos-k-chi-3","Cairo Santos","K","CHI","","","217"
"consensus-elijah-sarratt-wr-fa","Elijah Sarratt","WR","FA","218","",""
"consensus-buffalo-bills-dst-buf-2","Buffalo Bills","DST","BUF","","218",""
"consensus-emanuel-wilson-rb-sea-3","Emanuel Wilson","RB","SEA","","","218"
"consensus-eddy-pineiro-k-sf","Eddy Pineiro","K","SF","219","",""
"consensus-nicholas-singleton-rb-fa-2","Nicholas Singleton","RB","FA","","219",""
"consensus-kaytron-allen-rb-fa","Kaytron Allen","RB","FA","220","",""
"consensus-ryan-flournoy-wr-dal-2","Ryan Flournoy","WR","DAL","","220",""
"calvin-ridley","Calvin Ridley","WR","TEN","233","221","212"
"ray-davis","Ray Davis","RB","BUF","202","222","222"
"consensus-nicholas-singleton-rb-fa","Nicholas Singleton","RB","FA","223","",""
"consensus-kaytron-allen-rb-fa-2","Kaytron Allen","RB","FA","","223",""
"consensus-baltimore-ravens-dst-bal-2","Baltimore Ravens","DST","BAL","","224",""
"consensus-buffalo-bills-dst-buf-3","Buffalo Bills","DST","BUF","","","224"
"kaleb-johnson","Kaleb Johnson","RB","PIT","195","225","207"
"consensus-ryan-flournoy-wr-dal","Ryan Flournoy","WR","DAL","225","",""
"darnell-mooney","Darnell Mooney","WR","ATL","237","226","204"
"kendre-miller","Kendre Miller","RB","NO","207","227","219"
"consensus-buffalo-bills-dst-buf","Buffalo Bills","DST","BUF","227","",""
"consensus-cairo-santos-k-chi-2","Cairo Santos","K","CHI","","228",""
"consensus-mack-hollins-wr-ne-3","Mack Hollins","WR","NE","","","228"
"theo-johnson","Theo Johnson","TE","NYG","209","229","210"
"consensus-isaiah-davis-rb-nyj-3","Isaiah Davis","RB","NYJ","","","229"
"consensus-eli-stowers-te-fa","Eli Stowers","TE","FA","230","",""
"chig-okonkwo","Chig Okonkwo","TE","WAS","244","230","234"
"consensus-jacoby-brissett-qb-ari-3","Jacoby Brissett","QB","ARI","","","230"
"consensus-fernando-mendoza-qb-fa","Fernando Mendoza","QB","FA","231","",""
"jake-bates-k-det","Jake Bates","K","DET","239","231","233"
"kyle-williams","Kyle Williams","WR","NE","206","232","236"
"consensus-cairo-santos-k-chi","Cairo Santos","K","CHI","232","",""
"consensus-dontayvion-wicks-wr-gb-3","Dontayvion Wicks","WR","GB","","","232"
"joe-mixon","Joe Mixon","RB","","224","233","253"
"rashod-bateman","Rashod Bateman","WR","BAL","236","234","220"
"consensus-baltimore-ravens-dst-bal","Baltimore Ravens","DST","BAL","235","",""
"consensus-harrison-mevis-k-lar-2","Harrison Mevis","K","LAR","","235",""
"consensus-baltimore-ravens-dst-bal-3","Baltimore Ravens","DST","BAL","","","235"
"consensus-tank-dell-wr-hou-2","Tank Dell","WR","HOU","","236",""
"consensus-chris-brazzell-wr-fa-2","Chris Brazzell II","WR","FA","","237",""
"consensus-harrison-mevis-k-lar-3","Harrison Mevis","K","LAR","","","237"
"consensus-isaiah-davis-rb-nyj-2","Isaiah Davis","RB","NYJ","","238",""
"consensus-terrance-ferguson-te-lar-3","Terrance Ferguson","TE","LAR","","","238"
"david-njoku","David Njoku","TE","CLE","240","239","244"
"consensus-mack-hollins-wr-ne-2","Mack Hollins","WR","NE","","240",""
"consensus-gunnar-helm-te-ten-3","Gunnar Helm","TE","TEN","","","240"
"ollie-gordon-ii","Ollie Gordon II","RB","MIA","234","241","249"
"consensus-harrison-mevis-k-lar","Harrison Mevis","K","LAR","241","",""
"keon-coleman","Keon Coleman","WR","BUF","246","242","225"
"consensus-k-c-concepcion-wr-fa-3","K.C. Concepcion","WR","FA","","","242"
"consensus-malachi-fields-wr-fa","Malachi Fields","WR","FA","243","",""
"consensus-malachi-fields-wr-fa-2","Malachi Fields","WR","FA","","243",""
"xavier-legette","Xavier Legette","WR","CAR","242","244","226"
"consensus-colby-parkinson-te-lar","Colby Parkinson","TE","LAR","245","",""
"consensus-eli-stowers-te-fa-2","Eli Stowers","TE","FA","","245",""
"consensus-kenyon-sadiq-te-fa-3","Kenyon Sadiq","TE","FA","","","245"
"consensus-dontayvion-wicks-wr-gb-2","Dontayvion Wicks","WR","GB","","246",""
"consensus-isaiah-davis-rb-nyj","Isaiah Davis","RB","NYJ","247","",""
"consensus-gunnar-helm-te-ten-2","Gunnar Helm","TE","TEN","","247",""
"consensus-kaytron-allen-rb-fa-3","Kaytron Allen","RB","FA","","","247"
"consensus-elijah-sarratt-wr-fa-2","Elijah Sarratt","WR","FA","","248",""
"consensus-dontayvion-wicks-wr-gb","Dontayvion Wicks","WR","GB","249","",""
"chris-boswell-k-pit","Chris Boswell","K","PIT","254","249","252"
"consensus-jacoby-brissett-qb-ari","Jacoby Brissett","QB","ARI","250","",""
"najee-harris","Najee Harris","RB","LAC","251","250","243"
"tory-horton","Tory Horton","WR","SEA","229","251","248"
"consensus-chris-brazzell-wr-fa-3","Chris Brazzell II","WR","FA","","","251"
"consensus-mack-hollins-wr-ne","Mack Hollins","WR","NE","252","",""
"keenan-allen","Keenan Allen","WR","LAC","269","252","239"
"brashard-smith","Brashard Smith","RB","KC","263","253","223"
"consensus-ty-johnson-rb-buf-2","Ty Johnson","RB","BUF","","254",""
"consensus-gunnar-helm-te-ten","Gunnar Helm","TE","TEN","255","",""
"cade-otton","Cade Otton","TE","TB","274","255","257"
"consensus-nicholas-singleton-rb-fa-3","Nicholas Singleton","RB","FA","","","255"
"consensus-ty-johnson-rb-buf","Ty Johnson","RB","BUF","256","",""
"consensus-colby-parkinson-te-lar-2","Colby Parkinson","TE","LAR","","256",""
"consensus-ty-johnson-rb-buf-3","Ty Johnson","RB","BUF","","","256"
"harrison-butker-k-kc","Harrison Butker","K","KC","264","257","266"
"cooper-kupp","Cooper Kupp","WR","SEA","261","258","241"
"consensus-colby-parkinson-te-lar-3","Colby Parkinson","TE","LAR","","","258"
"consensus-demond-claiborne-rb-fa","Demond Claiborne","RB","FA","259","",""
